features,importance,model,used_in_automl
orders_ords_last_6_12_order_pay_catg_cd_d_orig_order_value_amt_sd,0.0,LGBMRegressor(),
efforts_customer_eff_last_6_12_effort_type_cd_ac_effort_id_countdist,0.0,LGBMRegressor(),
order_items_item_last_24_24_with_offer_cd_true_unit_cost_amt_mean,3.0,LGBMRegressor(),
trans_trans_last_6_12_lob_cd_1_trans_amt_payment_sum,0.0,LGBMRegressor(),
trans_trans_last_6_12_lob_cd_2_order_no_countdist,2.0,LGBMRegressor(),
orders_ords_last_6_12_comm_channel_type_cd_t_orig_order_value_amt_min,0.0,LGBMRegressor(),
trans_trans_last_12_24_lob_cd_2_trans_amt_payment_sum,0.0,LGBMRegressor(),
trans_trans_last_12_24_trans_type_cd_returns_trans_amt_sum,3.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_business_category_cd_c_xsell_effort_id_countdist,3.0,LGBMRegressor(),
nonorders_nonords_last_0_6_count,4.0,LGBMRegressor(),
efforts_welcome_eff_last_full_third_chr_final_key_cd_7_effort_id_countdist,0.0,LGBMRegressor(),
orders_ords_last_0_6_lob_cd_i_orig_order_value_amt_min,0.0,LGBMRegressor(),
trans_trans_last_0_6_trans_type_cd_returns_trans_amt_mean,0.0,LGBMRegressor(),
customer_order_inquiry_cs_last_0_6_resolution_type_cd_cim_order_no_countdist,0.0,LGBMRegressor(),
trans_trans_trans_type_cd_returns_days_since_trans_min,0.0,LGBMRegressor(),
trans_trans_trans_type_cd_440_days_since_trans_max,0.0,LGBMRegressor(),
orders_ords_last_24_24_lob_cd_i_orig_order_value_amt_sum,3.0,LGBMRegressor(),
efforts_xsell_eff_last_6_12_business_category_cd_a_order_no_countdist,0.0,LGBMRegressor(),1.0
trans_trans_last_12_24_trans_amt_payment_sum,0.0,LGBMRegressor(),
efforts_xsell_eff_last_6_12_affinity_cd_jewelry_xsell_effort_id_countdist,0.0,LGBMRegressor(),
order_items_item_last_12_24_product_type_cd_a_unit_cost_amt_sd,8.0,LGBMRegressor(),
order_items_item_last_6_12_with_offer_cd_true_unit_cost_amt_sum,0.0,LGBMRegressor(),
trans_trans_last_6_12_lob_cd_2_trans_amt_payment_max,0.0,LGBMRegressor(),
order_items_item_last_6_12_product_type_cd_a_line_item_qty_sum,0.0,LGBMRegressor(),
efforts_xsell_eff_full_affinity_cd_cooking_days_since_xsell_effort_max,2.0,LGBMRegressor(),1.0
efforts_xsell_eff_last_12_24_xsell_category_cd_t_order_no_countdist,1.0,LGBMRegressor(),
online_regevent_days_since_registation_max,23.0,LGBMRegressor(),1.0
order_items_item_last_12_24_line_item_qty_sum,4.0,LGBMRegressor(),
order_items_item_last_6_12_product_type_cd_a_unit_cost_amt_mean,7.0,LGBMRegressor(),
efforts_customer_eff_last_0_6_effort_type_cd_xb_effort_id_countdist,3.0,LGBMRegressor(),
trans_trans_last_6_12_lob_cd_i_trans_amt_payment_mean,4.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_xsell_category_cd_x_xsell_effort_id_countdist,0.0,LGBMRegressor(),
efforts_xsell_eff_last_12_24_affinity_cd_ukn_order_no_countdist,12.0,LGBMRegressor(),
customer_order_inquiry_cs_last_12_24_resolution_type_cd_cim_order_no_line_item_no_countdist,0.0,LGBMRegressor(),
efforts_welcome_eff_last_full_second_chr_final_key_cd_j_effort_id_countdist,0.0,LGBMRegressor(),
orders_ords_last_0_6_order_pay_catg_cd_d_orig_order_value_amt_sum,0.0,LGBMRegressor(),
trans_trans_last_0_6_lob_cd_9_trans_amt_payment_min,6.0,LGBMRegressor(),
customer_order_inquiry_cs_last_12_24_resolution_type_cd_tsn_order_no_countdist,0.0,LGBMRegressor(),
composite_nonorders_nonords_last_6_12_per,6.0,LGBMRegressor(),1.0
trans_trans_last_24_24_lob_cd_9_trans_amt_payment_max,0.0,LGBMRegressor(),
efforts_xsell_eff_last_12_24_xsell_category_cd_x_xsell_effort_id_countdist,0.0,LGBMRegressor(),
composite_nonorders_nonords_last_24_24_lob_cd_2_per,6.0,LGBMRegressor(),
order_items_item_last_24_24_product_type_cd_a_line_item_qty_max,0.0,LGBMRegressor(),
efforts_xsell_eff_last_12_24_lob_cd_9_order_no_countdist,0.0,LGBMRegressor(),
composite_nonorders_nonords_last_0_6_lob_cd_1_per,0.0,LGBMRegressor(),
efforts_xsell_eff_full_business_category_cd_a_days_since_xsell_effort_max,1.0,LGBMRegressor(),
trans_trans_last_24_24_lob_cd_2_trans_amt_payment_max,0.0,LGBMRegressor(),
order_items_item_last_0_6_with_offer_cd_true_line_item_qty_sd,0.0,LGBMRegressor(),
efforts_welcome_eff_last_6_12_effort_id_countdist,0.0,LGBMRegressor(),
order_items_item_last_0_6_order_no_line_item_no_countdist,1.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_business_category_cd_a_xsell_effort_id_countdist,0.0,LGBMRegressor(),
efforts_customer_eff_last_24_24_effort_type_cd_c_effort_id_countdist,0.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_affinity_cd_hliving_xsell_effort_id_countdist,0.0,LGBMRegressor(),
composite_order_items_item_6_12_to_12_24_growth,5.0,LGBMRegressor(),
trans_trans_days_since_trans_max,10.0,LGBMRegressor(),
efforts_xsell_eff_last_0_6_business_category_cd_a_order_no_countdist,0.0,LGBMRegressor(),
